name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zranb2,485.65056965671164,-0.3706612380613372,0.20507250030628515,-1.8074643723938495,0.0706899048922391,0.2691736893570445
Lrriq3,26.33137401945355,0.03190441410442001,0.5384059479855974,0.05925717244355828,0.9527472725768837,0.9830014287870392
Dnase2b,438.22419704060394,0.5433905246089608,0.24302368292100518,2.2359570807162434,0.025354582691151362,0.14241238235430198
Adgrl2,566.9401971746285,-0.08440126893549767,0.19861310789197362,-0.4249531656359953,0.6708708165699173,0.8604026629716982
Rpf1,317.21921813763015,0.16788980852080027,0.2745103354879383,0.6115974038732584,0.5408041561699861,0.7843432310652743
Uox,31474.82185218375,0.8713035091435807,0.3178857304267643,2.740933064135494,0.006126498690846654,0.056197036023443295
Ctbs,179.67061760486766,0.0004665065881817795,0.3019509245416738,0.0015449748626863186,0.9987672889006368,0.9994668838966317
Spata1,34.23148867790982,-0.09062469426754136,0.43943106583349245,-0.20623187870354281,0.8366097874354803,0.9384035414840681
Jak3,276.37649420558625,-1.2781918854323289,0.3595388981547572,-3.555086506612571,0.000377854749598501,0.00855206373204879
Ube2n,660.4620897581475,-0.25977056342883487,0.22626921280566806,-1.1480596949437374,0.2509439214038134,0.5389362280932622
Ahnak,284.3811562522785,-0.8958905277274822,0.2865098833250268,-3.126909680498361,0.0017665418854859109,0.02426568524019108
Atp6v0d2,285.85452486209726,-3.160025928588784,0.9955798533632892,-3.174055720305626,0.0015032482960753634,0.02198353540244086
Cdk10,180.06185108064832,0.40642369585461147,0.2994790578687697,1.3571022252671316,0.17474873151797243,0.4472812841347954
Klf9,2020.8467512432294,0.6566469686031813,0.3565441955100904,1.8416986642111741,0.0655192397163441,0.256080030159105
Fgg,69476.51255283634,-1.2695954604941528,0.40371165659609926,-3.1448075371386737,0.0016619612732114285,0.02335760223310614
Sat2,206.3771270304806,-0.06926450694741179,0.25750535534590596,-0.2689827823361927,0.7879429322522573,0.9193224708076825
Tgs1,169.36443281815423,-0.1073075825147863,0.2270123655785238,-0.4726948782781989,0.6364308811619493,0.8406562560239927
Tmem68,137.07321008547876,0.42340170252278503,0.3139082804035102,1.3488070527433287,0.17739894878120588,0.4517939517950696
Sdr16c5,1.4072106860231601,4.716000646496729,4.024862961155002,1.17171707260895,0.241310666288294,
Ackr2,24.469207319925342,-1.6368988064677255,0.6587850341232588,-2.4847237288050796,0.012965201001652249,0.09130832548377693
nan,164.31315763492358,1.3295155998285813,0.5833199989211962,2.279221700417291,0.022653889754959914,0.13285915607515866
Nop56,366.4460713885136,-0.05667492231951067,0.34263348338789645,-0.16540976018782383,0.8686214719749648,0.9541097012027293
Snrpb,599.7605601746158,0.21989649236701458,0.30302086231695374,0.7256810329349774,0.4680343319283016,0.7359030376231157
Idh3b,2116.3213480184486,0.4827375072755368,0.23339075620109703,2.068366010432712,0.03860561885034403,0.18534471340510839
Cpxm1,14.880043863623241,-0.19775407167549575,0.619971124960101,-0.3189730355397156,0.7497469601089238,0.9016017783017036
Stk4,253.50455041480623,-0.3011606459523885,0.21903447827409825,-1.3749463021776789,0.1691480929594401,0.43949098227367756
Ubb-ps,200.61392924307557,-0.07769920639807952,0.3314787466579567,-0.23440177441679264,0.8146730812305696,0.9296980000598286
Gart,292.5659004343015,-0.12075042556457946,0.28370620205495567,-0.42561785639493827,0.6703863266346424,0.8601914885429575
Chrd,132.79600860796972,-0.21587268329754122,0.32605763902563306,-0.662069086749936,0.5079269463999749,0.7626667554526005
C030037D09Rik,12.843619765027434,-1.1375320099163124,0.7134380779908874,-1.594436917524385,0.1108382092509782,0.3476200228775406
Hectd2os,68.8770048442803,2.0628049112618894,0.4833108547360206,4.268070727251868,1.9717081846926962e-05,0.0010631759819421402
Tmed9,1130.3532510709301,-0.38181462755124906,0.29484778503960435,-1.2949550477374732,0.19533573702240092,0.4760256160877479
Erap1,1014.3549672402019,0.11800275882990098,0.23955819463949465,0.49258493956961263,0.6223058916177533,0.8334995139045497
Tbc1d2,16.513158510492584,-1.6975177910999133,0.7382298818172416,-2.2994433480818595,0.02147977683827304,0.12852930448868102
AA474408,11.237818904180441,0.18940507491556097,0.7531787571920672,0.2514742657130743,0.8014474560292029,0.9237909732921066
Cast,593.64975189383,0.2596533620748529,0.2228755241322898,1.1650151495358156,0.24401286061598537,0.5306305287790288
Pitpnb,407.1037413684169,-0.03676085479237398,0.2490238096649066,-0.1476198394115021,0.8826427970572345,0.9593943446274287
Sap30bp,319.96490790196657,0.13379779806166467,0.17995572274289975,0.7435039909946055,0.4571766061541839,0.7264621648945756
Rrp8,140.5674375478335,0.39075330307442524,0.29254059258145504,1.335723359368064,0.18163971132343915,0.4575098059529745
Arfip2,264.9164771438731,-0.15384229814149158,0.2673065713851342,-0.5755275575318208,0.5649345587312384,0.7991715290864794
Polr3e,184.26441987822352,-0.033166248758618316,0.2623256173521312,-0.12643160471094136,0.8993902859342884,0.9660283179205912
Psmb7,832.0335050676907,0.48263588056714624,0.2988574076547293,1.614936984010571,0.10632434208760544,0.3403864269393655
Dnhd1,27.458111173338857,0.025700297797294047,0.5658802365199265,0.04541649652821733,0.9637753322266688,0.9872421808267372
Uqcrc2,2504.8895588571318,0.3352810481702504,0.25421768560906205,1.3188738122879784,0.18721130241447215,0.4654050638580712
Golga1,207.24478089881512,-0.49019099889229767,0.2582105827459289,-1.8984156020229048,0.057641355948816725,0.23623506536400296
Arpc5l,417.36284443651573,0.10163969576356241,0.24473053442419726,0.4153126866767998,0.6779130150996484,0.8650398721417782
