name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zranb2,485.65056965671164,0.1638679044865692,0.20513010633694673,0.7988486303292788,0.4243781884732579,0.6052008888505758
Lrriq3,26.33137401945355,0.7818298295357872,0.5594722205509521,1.3974417331496165,0.16228077678884933,0.3203633702433603
Dnase2b,438.22419704060394,-0.49856443617460766,0.24360834469433829,-2.046581929696084,0.04069915058893362,0.12222558762068181
Adgrl2,566.9401971746285,0.2657067138756948,0.19957853798216643,1.3313391137249302,0.18307745367387873,0.34809120443138625
Rpf1,317.21921813763015,-0.18409659509196574,0.27510376080214166,-0.6691896706725521,0.5033744944882115,0.6741993448774976
Uox,31474.82185218375,-0.28180397209202296,0.3179047581140366,-0.8864415045682837,0.37537966217730656,0.5597503081729411
Ctbs,179.67061760486766,1.068017594588506,0.30936858507550846,3.452249666293143,0.0005559330667250953,0.004851143776076846
Spata1,34.23148867790982,-0.37280799507200724,0.4355764635157022,-0.8558956378472176,0.39205550802709943,0.5759506365876977
Jak3,276.37649420558625,1.0097585910739342,0.359391410352532,2.809634738024061,0.004959775367441248,0.026039247216335857
Ube2n,660.4620897581475,0.17616148102580473,0.2265268251964146,0.777662781761323,0.4367678388269455,0.6162476431706426
Ahnak,284.3811562522785,0.4324043596109023,0.28562365421926206,1.5138954817760382,0.13005235026422182,0.2767511112287442
Atp6v0d2,285.85452486209726,3.2642071935816332,0.9966930704477714,3.2750375119144404,0.0010564794410694025,0.008057965631984618
Cdk10,180.06185108064832,-0.949429168522395,0.2981566252343983,-3.184330275324231,0.0014508936659679299,0.010242155009251871
Klf9,2020.8467512432294,0.2307189779820251,0.3569416340731546,0.646377323231337,0.5180350226799666,0.6858301974446261
Fgg,69476.51255283634,1.3882231937659577,0.40371640658521846,3.4386098041148707,0.0005847093546772512,0.005044564257255064
Sat2,206.3771270304806,-0.42700964962230464,0.25625813579484774,-1.6663262155475729,0.09564845797123005,0.22167743139394158
Tgs1,169.36443281815423,0.60085778674308,0.23227332575690052,2.5868566043263335,0.009685589019735198,0.042489640591893814
Tmem68,137.07321008547876,-0.05521007829573379,0.31727334278991937,-0.17401423583288814,0.861854274344002,0.9231679651006285
Sdr16c5,1.4072106860231601,-0.3861618831585934,4.451092526601679,-0.08675665150762893,0.9308649447342461,
Ackr2,24.469207319925342,-0.6655555077209386,0.6088818825129534,-1.093078192726123,0.27435946980196735,0.4558002246549604
nan,164.31315763492358,1.5338158938553774,0.5967867310651698,2.5701239890467384,0.010166212193627342,0.04405358617238515
Nop56,366.4460713885136,-0.7334355871609243,0.3415340208185446,-2.147474460679263,0.03175552828981115,0.10252863819739746
Snrpb,599.7605601746158,0.8189105444309265,0.3050637400272136,2.6843916106118497,0.00726619397563764,0.03441857618131026
Idh3b,2116.3213480184486,-0.641791453754649,0.23342173832065893,-2.749493077945463,0.005968752353598009,0.029857456053953724
Cpxm1,14.880043863623241,0.19644402719211612,0.626558527982297,0.31352861451702485,0.7538790845302618,0.8552665290732431
Stk4,253.50455041480623,0.513872189515506,0.22127565404552013,2.3223168935241008,0.020215878563291788,0.07393595462088648
Ubb-ps,200.61392924307557,0.29869977464880226,0.333282185217615,0.8962368464242025,0.3701262804136216,0.5548440518291615
Gart,292.5659004343015,0.5027575539629311,0.2857425006718687,1.7594776863112527,0.0784964069966325,0.1932901199713787
Chrd,132.79600860796972,-0.4801417440632759,0.3233212163056624,-1.4850301181885879,0.13753584598471524,0.2867976610764755
C030037D09Rik,12.843619765027434,-0.26111500532982007,0.6728248378942595,-0.38808764276157215,0.6979511763552759,0.8198361312656216
Hectd2os,68.8770048442803,-0.04354509415649463,0.5018628076154666,-0.08676692812402909,0.9308567759841907,0.9614086834317329
Tmed9,1130.3532510709301,-0.11116639825020114,0.2946352096945114,-0.37730181116324335,0.7059493263701377,0.8244718869804899
Erap1,1014.3549672402019,0.9389321042826526,0.24115663487013825,3.8934533349590956,9.882722031146802e-05,0.0012115775902042502
Tbc1d2,16.513158510492584,0.8366515789705883,0.7183150497480255,1.1647418208264932,0.2441235151276855,0.4234946214208187
AA474408,11.237818904180441,-1.4722512977911604,0.7230389759960832,-2.03619908008823,0.04173036860768471,0.12454438223036828
Cast,593.64975189383,0.5376244132276871,0.2249960498976824,2.389483786369464,0.01687206856117768,0.06434320599217735
Pitpnb,407.1037413684169,0.6556016788911312,0.25139376762393734,2.6078676694636793,0.009110816815292468,0.04071721412444909
Sap30bp,319.96490790196657,-0.43051996164592826,0.17967468272729376,-2.3961080944239757,0.01657020284141323,0.0634145455503822
Rrp8,140.5674375478335,0.6466362837541455,0.3010986585516921,2.1475893876927787,0.03174638921433958,0.10252081933754775
Arfip2,264.9164771438731,-0.4930896373277479,0.26582405109286694,-1.8549474184165702,0.06360373564140617,0.1671350229612846
Polr3e,184.26441987822352,0.08748645984820777,0.2638320689877492,0.3315990364017125,0.7401920472902807,0.84603248892952
Psmb7,832.0335050676907,0.09672706712991543,0.2996683518637668,0.322780388814261,0.7468615661568632,0.8504411067933954
Dnhd1,27.458111173338857,-0.8108644216004177,0.5572119290804665,-1.4552172688379783,0.14560912159613199,0.2971765731211776
Uqcrc2,2504.8895588571318,-0.2326471490347666,0.2543416156274797,-0.9147034332577024,0.360347341498111,0.5449485856068341
Golga1,207.24478089881512,-0.2105186070446228,0.25583135518880795,-0.8228803966943631,0.4105760115254853,0.5930542388701454
Arpc5l,417.36284443651573,-0.17540495780525076,0.2451015260661299,-0.7156420468713256,0.4742124037569647,0.648980425586334
